,Date,Open,High,Low,Close,Volume
151,2010-10-01,910.0,925.65,905.0,925.65,60300.0
152,2010-10-11,932.0,932.85,914.0,922.25,10600.0
153,2010-10-21,895.75,906.0,870.0,888.0,6700.0
154,2010-11-01,822.5,845.0,813.25,841.65,11000.0
155,2010-11-11,876.5,898.0,855.0,857.95,27300.0
156,2010-11-22,840.0,859.95,824.6,850.4,10200.0
157,2010-12-01,769.0,814.0,765.2,794.05,20600.0
158,2010-12-10,762.0,774.0,751.0,759.7,17400.0
159,2010-12-21,770.0,775.0,752.2,760.7,24500.0
160,2011-01-03,798.0,824.95,796.0,810.55,17600.0
161,2011-01-13,748.1,768.0,748.1,752.85,13000.0
162,2011-01-24,741.0,741.0,679.28,679.28,8700.0
163,2011-02-01,753.0,753.0,712.1,717.25,23700.0
164,2011-02-11,647.9,654.55,626.35,642.4,12800.0
165,2011-02-21,668.35,668.9,657.05,662.6,16100.0
166,2011-03-01,670.0,685.0,666.2,682.85,10400.0
167,2011-03-11,736.5,749.0,720.0,734.7,37100.0
168,2011-03-21,750.0,768.85,740.0,742.1,28300.0
169,2011-04-01,797.25,800.0,775.0,783.15,13500.0
170,2011-04-11,804.0,804.0,790.0,801.05,13500.0
171,2011-04-21,840.0,841.8,825.05,827.5,7200.0
172,2011-05-02,858.0,863.0,844.6,857.3,11900.0
173,2011-05-12,888.0,890.0,861.3,864.05,36900.0
174,2011-05-23,860.0,864.0,847.0,849.6,6600.0
175,2011-06-01,866.1,871.85,851.05,858.95,9500.0
176,2011-06-10,844.25,847.75,837.7,839.2,3500.0
177,2011-06-21,824.55,837.0,818.1,828.95,6000.0
178,2011-07-01,876.1,878.0,862.0,864.1,3700.0
179,2011-07-11,861.15,877.5,852.05,871.65,19200.0
180,2011-07-21,856.0,881.3,855.0,879.35,16600.0
181,2011-08-01,870.0,880.0,862.15,864.15,4600.0
182,2011-08-11,793.0,819.05,782.35,799.5,7300.0
183,2011-08-22,763.1,799.0,763.0,796.1,9100.0
184,2011-09-02,843.0,860.0,831.1,857.25,8800.0
185,2011-09-12,840.0,850.55,839.5,850.55,4300.0
186,2011-09-22,814.85,815.9,786.0,795.5,14900.0
187,2011-10-03,687.0,692.0,675.0,683.4,10700.0
188,2011-10-13,688.0,702.7,682.9,692.8,38400.0
189,2011-10-24,703.0,706.5,678.5,680.1,15700.0
190,2011-11-01,740.0,740.0,687.0,690.8,13800.0
191,2011-11-11,702.1,702.1,681.0,698.6,19600.0
192,2011-11-21,620.0,620.0,597.4,607.15,13600.0
193,2011-12-01,619.0,621.9,605.0,605.0,21200.0
194,2011-12-12,610.0,610.0,585.0,586.7,9500.0
195,2011-12-22,568.7,573.0,556.05,570.25,6100.0
196,2012-01-02,580.0,587.7,580.0,580.85,3000.0
197,2012-01-12,637.0,685.55,637.0,661.275,38200.0
198,2012-01-23,737.0,766.95,726.2,756.4,23600.0
199,2012-02-01,812.0,825.0,808.15,819.8,17200.0
200,2012-02-10,870.45,899.0,859.0,873.3,14900.0
201,2012-02-21,891.25,901.5,874.1,877.65,16400.0
202,2012-03-01,815.0,818.8,802.25,813.25,18000.0
203,2012-03-12,847.0,856.45,832.85,840.1,11400.0
204,2012-03-22,827.45,827.45,805.0,813.75,17900.0
205,2012-04-02,850.0,857.65,841.5,843.95,6100.0
206,2012-04-12,820.5,840.0,820.5,835.95,5500.0
207,2012-04-23,818.85,825.95,803.0,806.7,4000.0
208,2012-05-11,725.75,734.75,716.75,720.9,17700.0
209,2012-05-21,706.25,710.15,706.25,710.15,3400.0
210,2012-06-01,736.6,741.95,704.8,712.8,5900.0
211,2012-06-11,766.0,781.0,748.0,755.25,7800.0
212,2012-06-21,777.35,807.0,777.35,797.25,9800.0
213,2012-07-02,802.0,808.55,801.0,804.3,5000.0
214,2012-07-12,788.0,791.0,782.1,783.95,4000.0
215,2012-07-23,756.0,756.65,733.85,735.8,8200.0
216,2012-08-01,797.9,798.9,790.95,796.45,4300.0
217,2012-08-10,787.0,790.0,765.5,771.8,10300.0
218,2012-08-21,770.7,774.75,765.55,770.35,4600.0
219,2012-09-03,724.0,727.0,712.0,720.3,3900.0
220,2012-09-13,760.0,760.0,725.0,730.15,5100.0
221,2012-09-24,770.05,783.45,770.05,783.45,10200.0
222,2012-10-01,797.0,797.0,786.05,792.75,8500.0
223,2012-10-11,776.3,785.05,776.3,782.2,7000.0
224,2012-10-22,773.0,776.0,767.0,771.85,4600.0
225,2012-11-01,735.5,749.0,734.5,741.75,5400.0
226,2012-11-12,758.3,830.0,725.15,728.3,4700.0
227,2012-11-21,710.0,714.0,705.0,708.75,3900.0
228,2012-12-03,718.95,722.6,715.15,718.15,6800.0
229,2012-12-13,712.5,717.0,703.1,705.9,5200.0
230,2012-12-24,685.8,693.5,685.0,690.35,12200.0
231,2013-01-01,707.4,709.2,702.0,704.9,3400.0
232,2013-01-11,708.0,711.2,691.0,694.85,7200.0
233,2013-01-21,686.75,695.8,680.0,684.35,6800.0
234,2013-02-01,653.0,653.0,638.0,646.3,9400.0
235,2013-02-11,649.95,654.5,646.05,651.6,3300.0
236,2013-02-21,598.425,623.85,573.0,583.4,98100.0
237,2013-03-01,573.0,583.1,573.0,574.4,5700.0
238,2013-03-11,616.325,628.35,604.3,621.75,19200.0
239,2013-03-21,532.0,540.2,520.5,523.55,13300.0
240,2013-04-01,494.2,511.1,491.35,511.1,14600.0
241,2013-04-11,478.0,484.0,475.0,478.05,14300.0
242,2013-04-22,491.7,499.8,489.0,494.8,8000.0
243,2013-05-10,530.0,531.9,522.15,527.15,8400.0
244,2013-05-21,664.45,679.4,650.0,659.65,17150.0
245,2013-06-03,635.0,660.0,632.05,643.65,47900.0
246,2013-06-13,599.0,609.0,588.0,592.4,12500.0
247,2013-06-24,607.0,609.0,581.2,582.45,12900.0
248,2013-07-01,611.5,621.35,611.0,621.35,18700.0
249,2013-07-11,593.0,619.0,591.5,594.1,5400.0
250,2013-07-22,573.0,587.45,573.0,579.85,9700.0
251,2013-08-01,507.0,517.0,486.25,492.45,5200.0
252,2013-08-12,498.0,519.0,480.05,497.1,19600.0
253,2013-08-21,471.0,479.0,465.0,466.15,4700.0
254,2013-09-02,455.0,457.4,450.9,453.9,5300.0
255,2013-09-12,573.9,573.9,546.5,550.35,27000.0
